TOP.63dbbab8.0009270b	START
TOP.63dbbab8.0009270b	user_options->version	0
TOP.63dbbab8.0009270b	user_options->workload_profile	2
TOP.63dbbab8.0009270b	user_options->brain_client	0
TOP.63dbbab8.0009270b	user_options->brain_client_features	2
TOP.63dbbab8.0009270b	user_options->brain_server	0
TOP.63dbbab8.0009270b	user_options->brain_server_timer	300
TOP.63dbbab8.0009270b	user_options->brain_port	6863
TOP.63dbbab8.0009270b	user_options->brain_session	0
TOP.63dbbab8.0009270b	hashes->hashfile	hash.txt
TOP.63dbbab8.0009270b	hashes->hashlist_mode	5
TOP.63dbbab8.0009270b	hashes->hashlist_format	0
TOP.63dbbab8.0009270b	hashes->hashes_cnt	0
TOP.63dbbab8.0009270b	hashes->digests_cnt	1
TOP.63dbbab8.0009270b	hashes->digests_done_pot	0
TOP.63dbbab8.0009270b	hashes->digests_done_zero	0
TOP.63dbbab8.0009270b	hashes->digests_done	0
TOP.63dbbab8.0009270b	hashes->salts_cnt	1
TOP.63dbbab8.0009270b	hashes->salts_done	0
TOP.63dbbab8.0009270b	SUB.63dbbad1.000db355	START
TOP.63dbbb23.00060364	START
TOP.63dbbb23.00060364	folder_config->cwd	C:\Projects\kryptoanaliza\hashcat
TOP.63dbbb23.00060364	folder_config->install_dir	.
TOP.63dbbb23.00060364	folder_config->profile_dir	.
TOP.63dbbb23.00060364	folder_config->session_dir	.
TOP.63dbbb23.00060364	folder_config->shared_dir	.
TOP.63dbbb23.00060364	user_options->encoding_from	utf-8
TOP.63dbbb23.00060364	user_options->encoding_to	utf-8
TOP.63dbbb23.00060364	user_options->rule_buf_l	:
TOP.63dbbb23.00060364	user_options->rule_buf_r	:
TOP.63dbbb23.00060364	user_options->session	hashcat
TOP.63dbbb23.00060364	user_options->separator	:
TOP.63dbbb23.00060364	user_options->limit	0
TOP.63dbbb23.00060364	user_options->skip	0
TOP.63dbbb23.00060364	user_options->attack_mode	0
TOP.63dbbb23.00060364	user_options->benchmark	0
TOP.63dbbb23.00060364	user_options->benchmark_all	0
TOP.63dbbb23.00060364	user_options->bitmap_max	18
TOP.63dbbb23.00060364	user_options->bitmap_min	16
TOP.63dbbb23.00060364	user_options->debug_mode	0
TOP.63dbbb23.00060364	user_options->hash_info	0
TOP.63dbbb23.00060364	user_options->force	0
TOP.63dbbb23.00060364	user_options->hwmon_disable	0
TOP.63dbbb23.00060364	user_options->hwmon_temp_abort	90
TOP.63dbbb23.00060364	user_options->hash_mode	0
TOP.63dbbb23.00060364	user_options->hex_charset	0
TOP.63dbbb23.00060364	user_options->hex_salt	0
TOP.63dbbb23.00060364	user_options->hex_wordlist	0
TOP.63dbbb23.00060364	user_options->hook_threads	2
TOP.63dbbb23.00060364	user_options->identify	0
TOP.63dbbb23.00060364	user_options->increment	0
TOP.63dbbb23.00060364	user_options->increment_max	256
TOP.63dbbb23.00060364	user_options->increment_min	1
TOP.63dbbb23.00060364	user_options->keep_guessing	0
TOP.63dbbb23.00060364	user_options->kernel_accel	0
TOP.63dbbb23.00060364	user_options->kernel_loops	0
TOP.63dbbb23.00060364	user_options->kernel_threads	0
TOP.63dbbb23.00060364	user_options->keyspace	0
TOP.63dbbb23.00060364	user_options->left	0
TOP.63dbbb23.00060364	user_options->logfile_disable	0
TOP.63dbbb23.00060364	user_options->loopback	0
TOP.63dbbb23.00060364	user_options->machine_readable	0
TOP.63dbbb23.00060364	user_options->markov_classic	0
TOP.63dbbb23.00060364	user_options->markov_disable	0
TOP.63dbbb23.00060364	user_options->markov_inverse	0
TOP.63dbbb23.00060364	user_options->markov_threshold	256
TOP.63dbbb23.00060364	user_options->multiply_accel_disable	0
TOP.63dbbb23.00060364	user_options->backend_info	0
TOP.63dbbb23.00060364	user_options->backend_vector_width	0
TOP.63dbbb23.00060364	user_options->optimized_kernel_enable	0
TOP.63dbbb23.00060364	user_options->outfile_autohex	1
TOP.63dbbb23.00060364	user_options->outfile_check_timer	5
TOP.63dbbb23.00060364	user_options->outfile_format	3
TOP.63dbbb23.00060364	user_options->wordlist_autohex_disable	0
TOP.63dbbb23.00060364	user_options->potfile_disable	0
TOP.63dbbb23.00060364	user_options->progress_only	0
TOP.63dbbb23.00060364	user_options->quiet	0
TOP.63dbbb23.00060364	user_options->remove	0
TOP.63dbbb23.00060364	user_options->remove_timer	60
TOP.63dbbb23.00060364	user_options->restore	0
TOP.63dbbb23.00060364	user_options->restore_disable	0
TOP.63dbbb23.00060364	user_options->restore_timer	1
TOP.63dbbb23.00060364	user_options->rp_files_cnt	0
TOP.63dbbb23.00060364	user_options->rp_gen	0
TOP.63dbbb23.00060364	user_options->rp_gen_func_max	4
TOP.63dbbb23.00060364	user_options->rp_gen_func_min	1
TOP.63dbbb23.00060364	user_options->rp_gen_seed	0
TOP.63dbbb23.00060364	user_options->runtime	0
TOP.63dbbb23.00060364	user_options->scrypt_tmto	0
TOP.63dbbb23.00060364	user_options->segment_size	33554432
TOP.63dbbb23.00060364	user_options->self_test_disable	0
TOP.63dbbb23.00060364	user_options->slow_candidates	0
TOP.63dbbb23.00060364	user_options->show	0
TOP.63dbbb23.00060364	user_options->speed_only	0
TOP.63dbbb23.00060364	user_options->spin_damp	0
TOP.63dbbb23.00060364	user_options->status	1
TOP.63dbbb23.00060364	user_options->status_json	0
TOP.63dbbb23.00060364	user_options->status_timer	10
TOP.63dbbb23.00060364	user_options->stdout_flag	0
TOP.63dbbb23.00060364	user_options->usage	0
TOP.63dbbb23.00060364	user_options->username	0
TOP.63dbbb23.00060364	user_options->veracrypt_pim_start	485
TOP.63dbbb23.00060364	user_options->veracrypt_pim_stop	485
TOP.63dbbb23.00060364	user_options->version	0
TOP.63dbbb23.00060364	user_options->workload_profile	2
TOP.63dbbb23.00060364	user_options->brain_client	0
TOP.63dbbb23.00060364	user_options->brain_client_features	2
TOP.63dbbb23.00060364	user_options->brain_server	0
TOP.63dbbb23.00060364	user_options->brain_server_timer	300
TOP.63dbbb23.00060364	user_options->brain_port	6863
TOP.63dbbb23.00060364	user_options->brain_session	0
TOP.63dbbb23.00060364	hashes->hashfile	hash.txt
TOP.63dbbb23.00060364	hashes->hashlist_mode	5
TOP.63dbbb23.00060364	hashes->hashlist_format	0
TOP.63dbbb23.00060364	hashes->hashes_cnt	0
TOP.63dbbb23.00060364	hashes->digests_cnt	1
TOP.63dbbb23.00060364	hashes->digests_done_pot	0
TOP.63dbbb23.00060364	hashes->digests_done_zero	0
TOP.63dbbb23.00060364	hashes->digests_done	0
TOP.63dbbb23.00060364	hashes->salts_cnt	1
TOP.63dbbb23.00060364	hashes->salts_done	0
TOP.63dbbb23.00060364	SUB.63dbbb24.00005cac	START
TOP.63dbbc61.000963ef	START
TOP.63dbbc61.000963ef	folder_config->cwd	C:\Projects\kryptoanaliza\hashcat
TOP.63dbbc61.000963ef	folder_config->install_dir	.
TOP.63dbbc61.000963ef	folder_config->profile_dir	.
TOP.63dbbc61.000963ef	folder_config->session_dir	.
TOP.63dbbc61.000963ef	folder_config->shared_dir	.
TOP.63dbbc61.000963ef	user_options->encoding_from	utf-8
TOP.63dbbc61.000963ef	user_options->encoding_to	utf-8
TOP.63dbbc61.000963ef	user_options->rule_buf_l	:
TOP.63dbbc61.000963ef	user_options->rule_buf_r	:
TOP.63dbbc61.000963ef	user_options->session	hashcat
TOP.63dbbc61.000963ef	user_options->separator	:
TOP.63dbbc61.000963ef	user_options->limit	0
TOP.63dbbc61.000963ef	user_options->skip	0
TOP.63dbbc61.000963ef	user_options->attack_mode	0
TOP.63dbbc61.000963ef	user_options->benchmark	0
TOP.63dbbc61.000963ef	user_options->benchmark_all	0
TOP.63dbbc61.000963ef	user_options->bitmap_max	18
TOP.63dbbc61.000963ef	user_options->bitmap_min	16
TOP.63dbbc61.000963ef	user_options->debug_mode	0
TOP.63dbbc61.000963ef	user_options->hash_info	0
TOP.63dbbc61.000963ef	user_options->force	0
TOP.63dbbc61.000963ef	user_options->hwmon_disable	0
TOP.63dbbc61.000963ef	user_options->hwmon_temp_abort	90
TOP.63dbbc61.000963ef	user_options->hash_mode	0
TOP.63dbbc61.000963ef	user_options->hex_charset	0
TOP.63dbbc61.000963ef	user_options->hex_salt	0
TOP.63dbbc61.000963ef	user_options->hex_wordlist	0
TOP.63dbbc61.000963ef	user_options->hook_threads	2
TOP.63dbbc61.000963ef	user_options->identify	0
TOP.63dbbc61.000963ef	user_options->increment	0
TOP.63dbbc61.000963ef	user_options->increment_max	256
TOP.63dbbc61.000963ef	user_options->increment_min	1
TOP.63dbbc61.000963ef	user_options->keep_guessing	0
TOP.63dbbc61.000963ef	user_options->kernel_accel	0
TOP.63dbbc61.000963ef	user_options->kernel_loops	0
TOP.63dbbc61.000963ef	user_options->kernel_threads	0
TOP.63dbbc61.000963ef	user_options->keyspace	0
TOP.63dbbc61.000963ef	user_options->left	0
TOP.63dbbc61.000963ef	user_options->logfile_disable	0
TOP.63dbbc61.000963ef	user_options->loopback	0
TOP.63dbbc61.000963ef	user_options->machine_readable	0
TOP.63dbbc61.000963ef	user_options->markov_classic	0
TOP.63dbbc61.000963ef	user_options->markov_disable	0
TOP.63dbbc61.000963ef	user_options->markov_inverse	0
TOP.63dbbc61.000963ef	user_options->markov_threshold	256
TOP.63dbbc61.000963ef	user_options->multiply_accel_disable	0
TOP.63dbbc61.000963ef	user_options->backend_info	0
TOP.63dbbc61.000963ef	user_options->backend_vector_width	0
TOP.63dbbc61.000963ef	user_options->optimized_kernel_enable	0
TOP.63dbbc61.000963ef	user_options->outfile_autohex	1
TOP.63dbbc61.000963ef	user_options->outfile_check_timer	5
TOP.63dbbc61.000963ef	user_options->outfile_format	3
TOP.63dbbc61.000963ef	user_options->wordlist_autohex_disable	0
TOP.63dbbc61.000963ef	user_options->potfile_disable	0
TOP.63dbbc61.000963ef	user_options->progress_only	0
TOP.63dbbc61.000963ef	user_options->quiet	0
TOP.63dbbc61.000963ef	user_options->remove	0
TOP.63dbbc61.000963ef	user_options->remove_timer	60
TOP.63dbbc61.000963ef	user_options->restore	0
TOP.63dbbc61.000963ef	user_options->restore_disable	0
TOP.63dbbc61.000963ef	user_options->restore_timer	1
TOP.63dbbc61.000963ef	user_options->rp_files_cnt	0
TOP.63dbbc61.000963ef	user_options->rp_gen	0
TOP.63dbbc61.000963ef	user_options->rp_gen_func_max	4
TOP.63dbbc61.000963ef	user_options->rp_gen_func_min	1
TOP.63dbbc61.000963ef	user_options->rp_gen_seed	0
TOP.63dbbc61.000963ef	user_options->runtime	0
TOP.63dbbc61.000963ef	user_options->scrypt_tmto	0
TOP.63dbbc61.000963ef	user_options->segment_size	33554432
TOP.63dbbc61.000963ef	user_options->self_test_disable	0
TOP.63dbbc61.000963ef	user_options->slow_candidates	0
TOP.63dbbc61.000963ef	user_options->show	0
TOP.63dbbc61.000963ef	user_options->speed_only	0
TOP.63dbbc61.000963ef	user_options->spin_damp	0
TOP.63dbbc61.000963ef	user_options->status	0
TOP.63dbbc61.000963ef	user_options->status_json	0
TOP.63dbbc61.000963ef	user_options->status_timer	10
TOP.63dbbc61.000963ef	user_options->stdout_flag	0
TOP.63dbbc61.000963ef	user_options->usage	0
TOP.63dbbc61.000963ef	user_options->username	0
TOP.63dbbc61.000963ef	user_options->veracrypt_pim_start	485
TOP.63dbbc61.000963ef	user_options->veracrypt_pim_stop	485
TOP.63dbbc61.000963ef	user_options->version	0
TOP.63dbbc61.000963ef	user_options->workload_profile	2
TOP.63dbbc61.000963ef	user_options->brain_client	0
TOP.63dbbc61.000963ef	user_options->brain_client_features	2
TOP.63dbbc61.000963ef	user_options->brain_server	0
TOP.63dbbc61.000963ef	user_options->brain_server_timer	300
TOP.63dbbc61.000963ef	user_options->brain_port	6863
TOP.63dbbc61.000963ef	user_options->brain_session	0
TOP.63dbbc61.000963ef	hashes->hashfile	hash.txt
TOP.63dbbc61.000963ef	hashes->hashlist_mode	5
TOP.63dbbc61.000963ef	hashes->hashlist_format	0
TOP.63dbbc61.000963ef	hashes->hashes_cnt	0
TOP.63dbbc61.000963ef	hashes->digests_cnt	1
TOP.63dbbc61.000963ef	hashes->digests_done_pot	0
TOP.63dbbc61.000963ef	hashes->digests_done_zero	0
TOP.63dbbc61.000963ef	hashes->digests_done	0
TOP.63dbbc61.000963ef	hashes->salts_cnt	1
TOP.63dbbc61.000963ef	hashes->salts_done	0
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	START
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	straight_ctx->dict	rockyou.txt
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	runtime_start	1675344996
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	runtime_stop	1675344996
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	hashes->digests_done_new	1
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	status-after-work	6
TOP.63dbbc61.000963ef	SUB.63dbbc62.00053a3c	STOP
TOP.63dbbc61.000963ef	proc_start	1675344993
TOP.63dbbc61.000963ef	proc_stop	1675344998
TOP.63dbbc61.000963ef	STOP
TOP.63dbbcd5.0008a40a	START
TOP.63dbbcd5.0008a40a	folder_config->cwd	C:\Projects\kryptoanaliza\hashcat
TOP.63dbbcd5.0008a40a	folder_config->install_dir	.
TOP.63dbbcd5.0008a40a	folder_config->profile_dir	.
TOP.63dbbcd5.0008a40a	folder_config->session_dir	.
TOP.63dbbcd5.0008a40a	folder_config->shared_dir	.
TOP.63dbbcd5.0008a40a	user_options->encoding_from	utf-8
TOP.63dbbcd5.0008a40a	user_options->encoding_to	utf-8
TOP.63dbbcd5.0008a40a	user_options->outfile	wyniki.txt
TOP.63dbbcd5.0008a40a	user_options->rule_buf_l	:
TOP.63dbbcd5.0008a40a	user_options->rule_buf_r	:
TOP.63dbbcd5.0008a40a	user_options->session	hashcat
TOP.63dbbcd5.0008a40a	user_options->separator	:
TOP.63dbbcd5.0008a40a	user_options->limit	0
TOP.63dbbcd5.0008a40a	user_options->skip	0
TOP.63dbbcd5.0008a40a	user_options->attack_mode	0
TOP.63dbbcd5.0008a40a	user_options->benchmark	0
TOP.63dbbcd5.0008a40a	user_options->benchmark_all	0
TOP.63dbbcd5.0008a40a	user_options->bitmap_max	18
TOP.63dbbcd5.0008a40a	user_options->bitmap_min	16
TOP.63dbbcd5.0008a40a	user_options->debug_mode	0
TOP.63dbbcd5.0008a40a	user_options->hash_info	0
TOP.63dbbcd5.0008a40a	user_options->force	0
TOP.63dbbcd5.0008a40a	user_options->hwmon_disable	0
TOP.63dbbcd5.0008a40a	user_options->hwmon_temp_abort	90
TOP.63dbbcd5.0008a40a	user_options->hash_mode	0
TOP.63dbbcd5.0008a40a	user_options->hex_charset	0
TOP.63dbbcd5.0008a40a	user_options->hex_salt	0
TOP.63dbbcd5.0008a40a	user_options->hex_wordlist	0
TOP.63dbbcd5.0008a40a	user_options->hook_threads	2
TOP.63dbbcd5.0008a40a	user_options->identify	0
TOP.63dbbcd5.0008a40a	user_options->increment	0
TOP.63dbbcd5.0008a40a	user_options->increment_max	256
TOP.63dbbcd5.0008a40a	user_options->increment_min	1
TOP.63dbbcd5.0008a40a	user_options->keep_guessing	0
TOP.63dbbcd5.0008a40a	user_options->kernel_accel	0
TOP.63dbbcd5.0008a40a	user_options->kernel_loops	0
TOP.63dbbcd5.0008a40a	user_options->kernel_threads	0
TOP.63dbbcd5.0008a40a	user_options->keyspace	0
TOP.63dbbcd5.0008a40a	user_options->left	0
TOP.63dbbcd5.0008a40a	user_options->logfile_disable	0
TOP.63dbbcd5.0008a40a	user_options->loopback	0
TOP.63dbbcd5.0008a40a	user_options->machine_readable	0
TOP.63dbbcd5.0008a40a	user_options->markov_classic	0
TOP.63dbbcd5.0008a40a	user_options->markov_disable	0
TOP.63dbbcd5.0008a40a	user_options->markov_inverse	0
TOP.63dbbcd5.0008a40a	user_options->markov_threshold	256
TOP.63dbbcd5.0008a40a	user_options->multiply_accel_disable	0
TOP.63dbbcd5.0008a40a	user_options->backend_info	0
TOP.63dbbcd5.0008a40a	user_options->backend_vector_width	0
TOP.63dbbcd5.0008a40a	user_options->optimized_kernel_enable	0
TOP.63dbbcd5.0008a40a	user_options->outfile_autohex	1
TOP.63dbbcd5.0008a40a	user_options->outfile_check_timer	5
TOP.63dbbcd5.0008a40a	user_options->outfile_format	3
TOP.63dbbcd5.0008a40a	user_options->wordlist_autohex_disable	0
TOP.63dbbcd5.0008a40a	user_options->potfile_disable	0
TOP.63dbbcd5.0008a40a	user_options->progress_only	0
TOP.63dbbcd5.0008a40a	user_options->quiet	0
TOP.63dbbcd5.0008a40a	user_options->remove	0
TOP.63dbbcd5.0008a40a	user_options->remove_timer	60
TOP.63dbbcd5.0008a40a	user_options->restore	0
TOP.63dbbcd5.0008a40a	user_options->restore_disable	0
TOP.63dbbcd5.0008a40a	user_options->restore_timer	1
TOP.63dbbcd5.0008a40a	user_options->rp_files_cnt	0
TOP.63dbbcd5.0008a40a	user_options->rp_gen	0
TOP.63dbbcd5.0008a40a	user_options->rp_gen_func_max	4
TOP.63dbbcd5.0008a40a	user_options->rp_gen_func_min	1
TOP.63dbbcd5.0008a40a	user_options->rp_gen_seed	0
TOP.63dbbcd5.0008a40a	user_options->runtime	0
TOP.63dbbcd5.0008a40a	user_options->scrypt_tmto	0
TOP.63dbbcd5.0008a40a	user_options->segment_size	33554432
TOP.63dbbcd5.0008a40a	user_options->self_test_disable	0
TOP.63dbbcd5.0008a40a	user_options->slow_candidates	0
TOP.63dbbcd5.0008a40a	user_options->show	0
TOP.63dbbcd5.0008a40a	user_options->speed_only	0
TOP.63dbbcd5.0008a40a	user_options->spin_damp	0
TOP.63dbbcd5.0008a40a	user_options->status	0
TOP.63dbbcd5.0008a40a	user_options->status_json	0
TOP.63dbbcd5.0008a40a	user_options->status_timer	10
TOP.63dbbcd5.0008a40a	user_options->stdout_flag	0
TOP.63dbbcd5.0008a40a	user_options->usage	0
TOP.63dbbcd5.0008a40a	user_options->username	0
TOP.63dbbcd5.0008a40a	user_options->veracrypt_pim_start	485
TOP.63dbbcd5.0008a40a	user_options->veracrypt_pim_stop	485
TOP.63dbbcd5.0008a40a	user_options->version	0
TOP.63dbbcd5.0008a40a	user_options->workload_profile	2
TOP.63dbbcd5.0008a40a	user_options->brain_client	0
TOP.63dbbcd5.0008a40a	user_options->brain_client_features	2
TOP.63dbbcd5.0008a40a	user_options->brain_server	0
TOP.63dbbcd5.0008a40a	user_options->brain_server_timer	300
TOP.63dbbcd5.0008a40a	user_options->brain_port	6863
TOP.63dbbcd5.0008a40a	user_options->brain_session	0
TOP.63dbbcd5.0008a40a	proc_start	1675345109
TOP.63dbbcd5.0008a40a	proc_stop	1675345110
TOP.63dbbcd5.0008a40a	STOP
TOP.63dbbcf9.00023b47	START
TOP.63dbbcf9.00023b47	folder_config->cwd	C:\Projects\kryptoanaliza\hashcat
TOP.63dbbcf9.00023b47	folder_config->install_dir	.
TOP.63dbbcf9.00023b47	folder_config->profile_dir	.
TOP.63dbbcf9.00023b47	folder_config->session_dir	.
TOP.63dbbcf9.00023b47	folder_config->shared_dir	.
TOP.63dbbcf9.00023b47	user_options->encoding_from	utf-8
TOP.63dbbcf9.00023b47	user_options->encoding_to	utf-8
TOP.63dbbcf9.00023b47	user_options->outfile	wyniki.txt
TOP.63dbbcf9.00023b47	user_options->rule_buf_l	:
TOP.63dbbcf9.00023b47	user_options->rule_buf_r	:
TOP.63dbbcf9.00023b47	user_options->session	hashcat
TOP.63dbbcf9.00023b47	user_options->separator	:
TOP.63dbbcf9.00023b47	user_options->limit	0
TOP.63dbbcf9.00023b47	user_options->skip	0
TOP.63dbbcf9.00023b47	user_options->attack_mode	0
TOP.63dbbcf9.00023b47	user_options->benchmark	0
TOP.63dbbcf9.00023b47	user_options->benchmark_all	0
TOP.63dbbcf9.00023b47	user_options->bitmap_max	18
TOP.63dbbcf9.00023b47	user_options->bitmap_min	16
TOP.63dbbcf9.00023b47	user_options->debug_mode	0
TOP.63dbbcf9.00023b47	user_options->hash_info	0
TOP.63dbbcf9.00023b47	user_options->force	0
TOP.63dbbcf9.00023b47	user_options->hwmon_disable	0
TOP.63dbbcf9.00023b47	user_options->hwmon_temp_abort	90
TOP.63dbbcf9.00023b47	user_options->hash_mode	0
TOP.63dbbcf9.00023b47	user_options->hex_charset	0
TOP.63dbbcf9.00023b47	user_options->hex_salt	0
TOP.63dbbcf9.00023b47	user_options->hex_wordlist	0
TOP.63dbbcf9.00023b47	user_options->hook_threads	2
TOP.63dbbcf9.00023b47	user_options->identify	0
TOP.63dbbcf9.00023b47	user_options->increment	0
TOP.63dbbcf9.00023b47	user_options->increment_max	256
TOP.63dbbcf9.00023b47	user_options->increment_min	1
TOP.63dbbcf9.00023b47	user_options->keep_guessing	0
TOP.63dbbcf9.00023b47	user_options->kernel_accel	0
TOP.63dbbcf9.00023b47	user_options->kernel_loops	0
TOP.63dbbcf9.00023b47	user_options->kernel_threads	0
TOP.63dbbcf9.00023b47	user_options->keyspace	0
TOP.63dbbcf9.00023b47	user_options->left	0
TOP.63dbbcf9.00023b47	user_options->logfile_disable	0
TOP.63dbbcf9.00023b47	user_options->loopback	0
TOP.63dbbcf9.00023b47	user_options->machine_readable	0
TOP.63dbbcf9.00023b47	user_options->markov_classic	0
TOP.63dbbcf9.00023b47	user_options->markov_disable	0
TOP.63dbbcf9.00023b47	user_options->markov_inverse	0
TOP.63dbbcf9.00023b47	user_options->markov_threshold	256
TOP.63dbbcf9.00023b47	user_options->multiply_accel_disable	0
TOP.63dbbcf9.00023b47	user_options->backend_info	0
TOP.63dbbcf9.00023b47	user_options->backend_vector_width	0
TOP.63dbbcf9.00023b47	user_options->optimized_kernel_enable	0
TOP.63dbbcf9.00023b47	user_options->outfile_autohex	1
TOP.63dbbcf9.00023b47	user_options->outfile_check_timer	5
TOP.63dbbcf9.00023b47	user_options->outfile_format	3
TOP.63dbbcf9.00023b47	user_options->wordlist_autohex_disable	0
TOP.63dbbcf9.00023b47	user_options->potfile_disable	0
TOP.63dbbcf9.00023b47	user_options->progress_only	0
TOP.63dbbcf9.00023b47	user_options->quiet	0
TOP.63dbbcf9.00023b47	user_options->remove	0
TOP.63dbbcf9.00023b47	user_options->remove_timer	60
TOP.63dbbcf9.00023b47	user_options->restore	0
TOP.63dbbcf9.00023b47	user_options->restore_disable	0
TOP.63dbbcf9.00023b47	user_options->restore_timer	1
TOP.63dbbcf9.00023b47	user_options->rp_files_cnt	0
TOP.63dbbcf9.00023b47	user_options->rp_gen	0
TOP.63dbbcf9.00023b47	user_options->rp_gen_func_max	4
TOP.63dbbcf9.00023b47	user_options->rp_gen_func_min	1
TOP.63dbbcf9.00023b47	user_options->rp_gen_seed	0
TOP.63dbbcf9.00023b47	user_options->runtime	0
TOP.63dbbcf9.00023b47	user_options->scrypt_tmto	0
TOP.63dbbcf9.00023b47	user_options->segment_size	33554432
TOP.63dbbcf9.00023b47	user_options->self_test_disable	0
TOP.63dbbcf9.00023b47	user_options->slow_candidates	0
